,user,location,tweet
0,BenTuckett1997,"Winnipeg, Manitoba","They were accused of plotting to overthrow the #Modi government. 
The evidence was planted, a new report says. 
https://t.co/nDOtX1KDbQ"
1,MirrorNow,India,"""People of #Bengal have to choose between #Modi govt's 'Vikas Model' and #MamataBanerjee's 'Vinas model.' More than… https://t.co/RTL4xbTmkA"
1,thuglaqisultan,India,"Thank you #Modi for not gifting Pangong Lake to #China , you are a #TrueHindu , unlike #ChachaNehru who gifted… https://t.co/5jID2MD8b1"
0,vinu7vinugmail," Cuddalore ,Tamilnadu,India ","Congratulations 💐 @PChidambaram_IN sir
on becoming Leader of the Opposition  (#RAJYASABHA)

You are the right perso… https://t.co/4tBEEwGNj9"
0,BoilerRoomTweet,,#India legislators move to rival #Koo as row with #Twitter escalates #aljazeera https://t.co/v1hVxoAICZ #apps #asia… https://t.co/JKULSYHsTJ
0,KharmihDavid,Shillong,"@EntrepreneurIND @debarghyawrites I already like #koo #Modi 
It will make Twitter a better place.
#kooapp 
#PMOIndia 
@PMOIndia"
1,IRA_Immigration,"507, 5th Floor, Vishwadeep Tower
District Center, Janak Puri West,
New Delhi-110058, India","Canadian PM calls Modi for vaccine supply

Visit us at: https://t.co/sPR4F0gYUi
Talk to our visa consultants at: +9… https://t.co/XJSQ2C95BG"
0,HemantJ26886104,,#stayalert  its is not just 65 rs toll money it can be a big scam in that even local government is involved Fraud f… https://t.co/dA9UHoEHCF
0,prasathhabi,தமிழ்நாடு ,"14.02.2021
Go.,...
Back.......
#MODI........."
1,zainrajper3,"Nawabshah, Pakistan","#Modi &amp; Imran are birds of the same feather
No difference you cant fight for your rights

If you will protest in In… https://t.co/5bBWvQe0Kd"
0,tweet2ssm,India,"@suhasinih In short, you are saying that #Trudeau is #Stupid enough to mention the farmers protests while requestin… https://t.co/4yOedr5Gm0"
1,bmbagri,India,@sgurumurthy #Modi #Govt did a fine job on #China #LAC #Standoff2  but let us not get carried away. We are to let g… https://t.co/NMsJOZmaJ7
0,DevaramGopinath,munagala.suryapet,@VishalKOfficial anna #VishalChakra releasing worldwide.... may be its #panindia  movie... of vishal anna... vishal… https://t.co/jrfL1RlJe9
0,MSMscarecrow,New Delhi,"Shameless #Motabhai asks people to vote on #Modi's name in #WestBengalElections.
Koi leader nahi hai kya… https://t.co/ekd0RW92yb"
1,devashak,,"One cannot be blindly opposing #Modi &amp; his government.
For example this scheme explained by this man is an amazing… https://t.co/hZiYCq0Tc5"
0,sadhna0412,NEW,#Modi govt is only sending #Covaxin doses to its security forces. Not even asking them if they want #Covaxin shot.… https://t.co/x7N95eWDtM
1,ayushbarthwal,,"#Modi has slammed opposition &amp; Communist for abusing our Enterpreneurs &amp; our strength 😎

Who made COVID-19 vaccines… https://t.co/dhyGLWdDtH"
